"TX_RESPOSTAS_CH";"TX_GABARITO_CH"
"CCABCDAAEBAECBEEBEDBEDDCAECBDEBDBDCCDBDDCCACA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"BCACBAAEDEBDECEEAECBCADBAAEAAEDCCCECAEDCEADCB";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DCACEBDAEDABCAEEBAEBBADBAAEECEDBDDCEBEDDDAACB";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DCABEADBEDBDECBECACBCCDACBDCABDAEADDDEDECBDCD";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEABCDDAEDACDEACDDDBCDABAEABDEBDBAABCDDABADDA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CAABBADADDAEEBBEAAEBCEDCAAECBBCAEACCBBEDBBBCE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEABBACDEAADCCBEABABADBCAACDCBBACADBABADDCDCA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEACCCDBDEBDECBECAABEAEBAAEBAEACAAEEBEDDDCDCA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CCCBBBBCAADEEABDCDCBBBCBECBDCECBBAAADDEEDABBB";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CCAACEDAEBAAEBBACEDBADEBAADADCDBDDCDEBDDCAADB";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"ECABCEDBEDABEABEBBABDDEBAADCABCDCACAEECDEACCE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"EEACEBDEADADECABDEABCDEBAEEACBEDACEDEABDDAECB";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DECBAACCADADBAE.DCABABAECABDACBDAACDEDCDACAAE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"BDCBECBDACDBCEABCCDAECBDCCEBADDCDBAECDABCDECB";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEABCDAAABACDCBEAACBACEAAAEBCECABACCBBCDDCBCA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"BADAACACBAABBBDECABAADEBADBCBBCEDCABADBDEBBAE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"EDADADEACCDBEBAEACAEDCDABBCAEDAEBDCCBDDCCAEDE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"ACABCEDBDDAEEBBEBCBBCDDAAABDBBDDBDCEBECDECDEE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CAABCADADDACEBBEBBCBBCDABAABADDAACEDABDDDBDCE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEABEDDBDBAAECBECDABBDDDAADBAEDAECCDEBDDCBBCD";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CEDDCDABDBBDBCBEBCBBEDDCEBDCEECDBBDEBEBEECCDE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"BEACCDACEAADACEBBECBEAEEECBCEBAADAEAEECADECEC";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"AEABCADEDCBBECDEBBABDDEAAAEBBECACABCBEDDDACEE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CEABEAEADDBCEBBDDBABCBDAAADCEECACABDBBADDBDCA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEABEACAEEADBBCECCEBBDBABDEBBBCBDCCCBEEDAACCE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEABCEDAEBAAECBECDDBDCDAADABCBDAEACDBBDDABECA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEABCEDAEEADDCCEDCABDEDBAADCCEDAEAADBBCACBECE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"ACAAEEAADBADECBD.CBBADDDCACB.BDACCBABBDDCBDCA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CDABAEDBEEAACAEEBB*BADEAEEBBCEDABDCDCEDDDDDEE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"BAABBABBDCAACBBEBBBBDBCDADCEEBAABCBCCBBBDCABC";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CEAAEACAEBBADBECABABADEBABECDBADCBDADBAABEDCA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DBAECADBEBACBDBBDCACDBAEADCBDBDADAECDEABCDEDC";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"ACABEADADBADCCBEBBBBCDDAAAEBDEDAEABEEBCDBBDCE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DAACADAEDBBCABABACABDADCABBEDBDAADBCBDBDBDBCE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEACBAAAECABECDEABDBDDABAADADDDABCCCEBDDBCAEE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"BDECACCAEAAADEABCBABCDCCAEEAAEACCBDCBCADEABCB";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"ACABDDAECBBDAABBDCBBBCAAACDCBDABBBCDABDDDBACA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CEAEACDAECBDADEEECCBDAEBADBCAECBCBBADEBACEACA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DAACCACAEDADDBEEAAABACEBAAAEABCAACEABADDBADCE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEABEDDCABBEEBBEACCBADDAAACCCECAAACDBECDDEDEE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEABCEDBABECECEEDEEBACEBABECBBDABDCDEDDEAAACB";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"AEABEACCDDAEDBBEBEDBAEDAAEECEBDAADBCCDEAEBDCE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEABCDDAEBADECBECBEBDCBBAADBCEDACACEBBCDBBACE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"AEABCDDBDBAAACAEACCBDCDAAADBCB*ABACDCBAABABCE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"AEABCAABABADBCBABAEBAEDAAAEBBBCAAACDBBDDAABBD";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CAAADBECACACEBABADEADBDABCEBECADCDADBADDEAECE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CCABEECABEBBEBBEDEBBEDEDCEACCBCBDBCBAEDBBCDAA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CCABEBAECCECBBBEAEEBACDDCADCABCCAACBDDCEABCCE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CBABABDDDBADEBBEBBCBEEDDAADCBECACCDCBBCDDBDCA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CAABCDAEDCABEBBEDCCBAABBAEDEEDADDAABDEDEDBBED";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"AEABDAEAEEADDCAECBABECDAAEECBEAAAAADBBEDEBBEA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"ABAEBDEAAEEAAEDBAAAEAAEAAAEAAEAAAEEAAEEDEAEDA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CCAADEDAEEAABCBECCECCEDEADDBCBDDCACDCBCDBACCA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DAABCEEEEBADCCBECBCBEEDBAADCCBEADACEDBCCECCEA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEACEDDBABABECBECDCBADDAADDCCEDABACDEECDBBACA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"BEABAEDEDBBADEABDACAEDDDBACEAEACEDBAAEEBDAEDD";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
".CA.DDDAEECCDEBEDBABEADCAEACDAECCBDBAACECBCDE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CDABCDECADBCEDEBAAADCEEBCDEABCDEABCDEEDCBAEDC";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DBAACECDBBEBCABBCBDEBDBBDCCAABBCEEECCBBDAADEB";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEACEEDBDBBBECBECDCBEEDEAAEBCBCAECCCBBBDABDCE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CBAECADCEACECEAEADECCABABECADBCAECADBACDEABCE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CBCEBDBECCAADEBACBEBCAD.CDBEADAEDBEDEEAECEBEB";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"AEABAEDBEBACBBBEBBAABCEBAAEBDCCBDBDCCEABDACBE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"AEABCADAEEADECAEBBBBADDBAAABDBDACABDEBDDABCCA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DCAAEADCABAAECEDCCEBEBDCADDECECADADCCBDEEAEEE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"ADABBADAEBBBCCBBBEABAEDAAAEACBDABABCAEEADDCEA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEABEDAAEDADDCAECACBACEAAACBEEDACACBEECDADCCD";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DAABCEDAEBADECBEBACBDDDAADABCBAAEACEEBEDDBBCA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CEADBADACCABACEDBDABCEACADBECECDDABAEECDABAEB";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
